Item,Serving size,Calories,Fat (G),Sat. Fat (G),Trans Fat (G),Cholesterol (MG),Sodium (MG),Carbohydrates (G),Fiber (G),Sugar (G),Protein (G),Dairy,Egg,Soy,Wheat,Tree Nuts,Fish,Price,Description,Ingredients
medium sweet sunjoy,861g,260,0,0,0,0,0,70,0,67,0,0,0,0,0,0,0,3.15,A refreshing combination of our classic Chick-fil-A Lemonade and freshly-brewed Sweetened Iced Tea. Also available with combinations of Chick-fil-A Diet Lemonade or Unsweetened Iced Tea.,"Water, sugar, lemon juice, tea"
large sweet sunjoy,551g,20,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,2.69,A refreshing combination of Chick-fil-A Diet Lemonade and freshly-brewed Unsweetened Iced Tea.,"Water, lemon juice, Splenda (dextrose, maltodextrin, sucralose), tea"
medium unsweet sunjoy,839g,35,0,0,0,0,5,9,0,7,0,0,0,0,0,0,0,3.15,A refreshing combination of Chick-fil-A Diet Lemonade and freshly-brewed Unsweetened Iced Tea.,"Water, lemon juice, Splenda (dextrose, maltodextrin, sucralose), tea"
large unsweet sunjoy,839g,35,0,0,0,0,5,9,0,7,0,0,0,0,0,0,0,3.15,A refreshing combination of Chick-fil-A Diet Lemonade and freshly-brewed Unsweetened Iced Tea.,"Water, lemon juice, Splenda (dextrose, maltodextrin, sucralose), tea"
medium lemonade,410g,220,0,0,0,0,10,58,0,55,0,0,0,0,0,0,0,2.69,"Classic lemonade using three simple ingredients: real lemon juice—not from concentrate, cane sugar, and water.","Water, lemon juice, sugar"
large lemonade,552g,300,0,0,0,0,15,78,0,74,0,0,0,0,0,0,0,3.15,"Classic lemonade using three simple ingredients: real lemon juice—not from concentrate, cane sugar, and water.","Water, lemon juice, sugar"
medium soft drink,354g,140,0,0,0,0,50,40,0,40,0,0,0,0,0,0,0,2.29,Fountain beverage.,"Carbonated water, high fructose corn syrup, caramel color, natural flavors, caffeine."
large soft drink,567g,230,0,0,0,0,75,64,0,64,0,0,0,0,0,0,0,2.75,Fountain beverage.,"Carbonated water, high fructose corn syrup, caramel color, natural flavors, caffeine."
iced coffee,438g,150,2.5,1.5,0,0,75,30,0,24,5,1,0,0,0,0,0,3.39,"Handcrafted daily, made with a custom blend of cold-brewed coffee and 2% milk, sweetened with pure cane sugar and served over ice. Our coffee beans are sourced by THRIVE Farmers, a farmer-direct coffee company that enriches the lives and communities of those who grow it. Available all day in Original or Vanilla.","Water, reduced fat milk (Vitamin A Palmitate and Vitamin D3), coffee extract (made with 100% Arabica coffee and water), sugar (pure cane sugar, water) Pure cane sugar, water"
orange juice,326g,160,0,0,0,0,10,34,0,30,2,0,0,0,0,0,0,3.09,"100% pure-squeezed, pasteurized Orange Juice.",100% orange juice.
hot coffee,340g,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2.25,"Our specialty grade, farmer-direct coffee is a custom blend made from arabica beans grown at high altitudes. With tasting notes of smooth caramel and a nutty finish, our proprietary blend is created to be delicious on its own or to accommodate any cream and sugar preferences. Chick-fil-A Coffee is uniquely crafted to pair with our menu and is sourced by THRIVE Farmers, a farmer-direct coffee company that enriches the lives and communities of those who grow it. Available all day. Coffee customizations are not reflected in calories, nutrition and ingredient information","Coffee, water"
water,479g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,"Purified water that is carefully designed and enhanced with minerals for a pure, fresh taste. DASANI is a registered trademark of The Coca-Cola Company.","Purified water, magnesium sulfate*, potassium chloride*. *Minerals added for taste."
frosted lemonade,383g,330,6,4,0,25,120,65,0,63,6,1,0,0,0,0,0,4.69,This refreshing treat is a hand-spun combination of Chick-fil-A Lemonade (or Diet Lemonade) and our signature Icedream dessert.,"Whole milk, nonfat milk, sugar, milkfat, nonfat dry milk, natural and artificial flavors, mono and diglycerides, guar gum, carrageenan, corn starch, cellulose gum, beta carotene (color), water, lemon juice, sugar"
frosted coffee,383g,250,6,4,0,25,120,43,1,39,6,1,0,0,0,0,0,4.69,A hand-spun treat that combines a custom blend of cold-brewed coffee with our signature Icedream dessert.,"Whole milk, nonfat milk, sugar, milkfat, nonfat dry milk, natural and artificial flavors, mono and diglycerides, guar gum, carrageenan, corn starch, cellulose gum, beta carotene (color), coffee extract (made with 100% Arabica coffee and water)"
icedream cone,135g,180,4,2.5,0,15,90,32,0,25,4,1,0,1,1,0,0,1.79,"A delicious, frozen dairy treat with an old-fashioned vanilla taste.","Icedream (whole milk, nonfat milk, sugar, milkfat, nonfat dry milk, natural and artificial flavors, mono and diglycerides, guar gum, carrageenan, corn starch, cellulose gum, beta carotene [color]), cone (enriched wheat flour [wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid], tapioca starch, sugar, contains 2% or less of: canola oil, leavening [sodium bicarbonate, ammonium bicarbonate], salt, annatto extract [vegetable color], natural flavor)"
brownie,85g,380,21,7,0,65,150,48,2,36,4,1,1,1,1,0,0,2.25,A decadent dessert treat with rich semi-sweet chocolate melted into the batter and fudgy chunks. Available individually or in a tray.,"Sugar, margarine (vegetable oil blend [palm fruit, soybean and olive oils], water, salt, non-fat dry milk, soy lecithin, monoglycerides, natural flavor, vitamin A palmitate, beta carotene color), eggs, bleached wheat flour (wheat flour enriched with niacin, iron, thiamin mononitrate, riboflavin, folic acid), semi-sweet chocolate (unsweetened chocolate, sugar, cocoa butter, milk fat, soy lecithin, vanilla, salt), fudge chunks (sugar, vegetable fat [palm and/or palm kernel], cocoa powder, cocoa powder processed with alkali, soy lecithin, salt, natural flavors, vanilla extract), cocoa processed with alkali, natural vanilla flavor, baking soda"
cookie,78g,370,17,9,0,15,230,49,3,26,5,1,1,1,1,0,0,1.65,"Baked each day in our Restaurants, these cookies have both semi-sweet dark and milk chocolate chunks, along with wholesome oats for an old-fashioned touch.","Wheat flour (wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid), sugar, milk chocolate chunks (sugar, chocolate liquor, cocoa butter, whole milk, soy lecithin, salt, vanilla), semi-sweet chocolate chunks (sugar, chocolate liquor, cocoa butter, soy lecithin), palm oil, rolled oats, butter (salted and unsalted), whole eggs, invert syrup, water, molasses, salt, natural and artificial vanilla flavor, baking soda, sodium acid pyrophosphate"
